Experiment 1:
--------------------QuadProbeHashTable add() with a bad hashfunctor--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	1735E1	|	1305E0		1734E-3		1305E-4		1734E-7		-2385E-8
20000	1146E1	|	8020E-1		5729E-4		4010E-5		2865E-8		-7519E-9
30000	2068E1	|	1391E0		6894E-4		4635E-5		2298E-8		1127E-8
40000	3364E1	|	2200E0		8409E-4		5501E-5		2102E-8		4859E-8
50000	2362E1	|	1513E0		4724E-4		3027E-5		-1316E-8		-3244E-8
60000	3543E1	|	2232E0		5905E-4		3720E-5		-5098E-8		1969E-8
70000	5244E1	|	3258E0		7492E-4		4655E-5		8668E-8		-1368E-7
80000	6461E1	|	3967E0		8077E-4		4959E-5		3069E-8		5196E-8
90000	4341E1	|	2638E0		4823E-4		2931E-5		-8861E-8		-2194E-8
100000	9072E1	|	5462E0		9072E-4		5462E-5		6433E-8		-5927E-8
110000	9579E1	|	5720E0		8708E-4		5200E-5		-1220E-7		-5396E-8
120000	8504E1	|	5040E0		7087E-4		4200E-5		5613E-8		5621E-8
130000	9798E1	|	5768E0		7537E-4		4437E-5		-3501E-7		-3006E-7
140000	8030E1	|	4697E0		5736E-4		3355E-5		-4283E-8		6533E-8
150000	9476E1	|	5511E0		6317E-4		3674E-5		9243E-8		5224E-8
160000	1534E2	|	8874E0		9588E-4		5546E-5		-9034E-7		1129E-7
170000	1230E2	|	7077E0		7233E-4		4163E-5		-1056E-7		-5998E-7
180000	1433E2	|	8211E0		7963E-4		4561E-5		-7314E-8		1064E-7
190000	1414E2	|	8062E0		7441E-4		4243E-5		8124E-8		8554E-8
200000	1786E2	|	1014E1		8930E-4		5071E-5		1328E-7		2787E-7
Insertions: 3150097
Collisions: 8330086875
--------------------QuadProbeHashTable add() with a mediocre hashfunctor--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	2388E0	|	1797E-1		2388E-4		1797E-5		2388E-8		-3283E-9
20000	3544E0	|	2480E-1		1772E-4		1240E-5		8860E-9		-2325E-9
30000	6987E0	|	4698E-1		2329E-4		1566E-5		7763E-9		3806E-9
40000	1023E1	|	6693E-1		2558E-4		1673E-5		6395E-9		1478E-8
50000	1554E1	|	9953E-1		3107E-4		1991E-5		-8656E-9		-2134E-8
60000	1848E1	|	1164E0		3080E-4		1940E-5		-2659E-8		1027E-8
70000	1547E1	|	9609E-1		2209E-4		1373E-5		2556E-8		-4036E-8
80000	2237E1	|	1374E0		2797E-4		1717E-5		1063E-8		1799E-8
90000	2259E1	|	1372E0		2510E-4		1525E-5		-4610E-8		-1141E-8
100000	2057E1	|	1238E0		2057E-4		1238E-5		1459E-8		-1344E-8
110000	3827E1	|	2285E0		3479E-4		2077E-5		-4876E-8		-2156E-8
120000	3708E1	|	2198E0		3090E-4		1831E-5		2447E-8		2451E-8
130000	3561E1	|	2096E0		2740E-4		1613E-5		-1273E-7		-1093E-7
140000	3585E1	|	2097E0		2560E-4		1498E-5		-1912E-8		2916E-8
150000	7710E1	|	4484E0		5140E-4		2989E-5		7521E-8		4251E-8
160000	4830E1	|	2794E0		3019E-4		1746E-5		-2845E-7		3554E-8
170000	4195E1	|	2415E0		2468E-4		1420E-5		-3602E-8		-2047E-7
180000	6478E1	|	3710E0		3599E-4		2061E-5		-3305E-8		4806E-8
190000	6442E1	|	3674E0		3391E-4		1934E-5		3702E-8		3898E-8
200000	6479E1	|	3679E0		3239E-4		1840E-5		4816E-8		1011E-7
Insertions: 3150097
Collisions: 2580429726
--------------------QuadProbeHashTable add() with a good hashfunctor--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	3000E-1	|	2258E-2		3000E-5		2258E-6		3000E-9		-4124E-10
